artist_id,artist_name,bio,portrait_url,nationality,birth_year,death_year,movement,notable_works,wiki_url
édouard-manet,Édouard Manet,"Édouard Manet was a French modernist painter who bridged the gap between Realism and Impressionism. Born into an affluent Parisian family, Manet displayed early talent for drawing and caricature. After failing to enter the Naval College, he studied under Thomas Couture, but grew dissatisfied with conventional painting. Manet's paintings were controversial, particularly his depictions of the female nude in Le déjeuner sur l'herbe and Olympia. ",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/%C3%89douard_Manet%2C_en_buste%2C_de_face_-_Nadar.jpg/250px-%C3%89douard_Manet%2C_en_buste%2C_de_face_-_Nadar.jpg,France,1832,1883,Impressionism,Olympia|Le Déjeuner sur l’herbe (The Luncheon on the Grass)|A Bar at the Folies-Bergère,https://en.wikipedia.org/wiki/%C3%89douard_Manet
paul-gauguin,Paul Gauguin,"Eugène Henri Paul Gauguin was a French painter, sculptor, writer, and printmaker who played a key role in the Symbolist and Post-Impressionist movements. He's best known for developing Synthetism, a post-Impressionist style, and for painting from imagination and feeling instead of classical perspective. His work influenced the development of Cubism and Expressionism, and inspired modern artists like Pablo Picasso and Henri Matisse. ",https://cdn.sanity.io/images/476nwnl9/production/8987634b5face39a7855baae33945205244421d5-1604x2048.jpg?auto=format&fit=crop&h=512&rect=715%2C202%2C831%2C831&w=512,France,1848,1903,Post-Impressionism,Where Do We Come From? What Are We? Where Are We Going?|Vision After the Sermon|The Yellow Christ,https://en.wikipedia.org/wiki/Paul_Gauguin
pierre-auguste-renoir,Pierre-Auguste Renoir,"Pierre-Auguste Renoir was a French artist and a founding member of the Impressionist movement. He was known for his soft, vibrantly colored landscapes and paintings of women, often celebrating the female figure and modern Parisian life. His work was characterized by a warmth of response to the world and a richness of feeling. Renoir's technique involved broken brushstrokes and bold combinations of complementary colors to capture the movement and light of his subjects. ",https://www.artwork-vault.co.uk/cdn/shop/files/foto-p-a-renoir_1.jpg?v=1684773514,France,1841,1919,Impressionism,Dance at Le Moulin de la Galette|Luncheon of the Boating Party|The Large Bathers,https://en.wikipedia.org/wiki/Pierre-Auguste_Renoir
henri-matisse,Henri Matisse,"Henri Émile Benoît Matisse was a French artist, sculptor, and graphic designer who led the Fauvist movement around 1900. His work is known for its bold colors, expressive forms, and simplified female figures. Matisse's early exposure to textiles in Bohain, France, where he was raised, influenced his sense of color and pattern. He studied law before taking up painting under Symbolist Gustave Moreau. ",https://hips.hearstapps.com/hmg-prod/images/gettyimages-517318552.jpg,France,1869,1954,Fauvism,The Dance|Woman with a Hat|The Red Studio,https://en.wikipedia.org/wiki/Henri_Matisse
raphael,Raphael,"Raffaello Sanzio da Urbino, better known as Raphael, was an Italian painter and architect who epitomized the High Renaissance. His work is admired for its clarity, composition, and portrayal of human grandeur. Raphael's talent was evident early, and he was trained by his father and influenced by Perugino. He started his career in his native Marche and Florence, before becoming Rome's most sought-after artist. ",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Raffaello_Sanzio.jpg/250px-Raffaello_Sanzio.jpg,Italy,1483,1520,High Renaissance,The School of Athens|Sistine Madonna|The Transfiguration,https://en.wikipedia.org/wiki/Raphael
johannes-vermeer,Johannes Vermeer,"Johannes Vermeer was a Dutch painter and art dealer known for his depictions of 17th-century middle-class life. His 36 surviving works are celebrated for their purity of light and form, and his ability to create a calm, timeless atmosphere. Vermeer's paintings often feature rooms with tables, chairs, musical instruments, and maps, with light streaming in through a window. He was skilled at painting pearls, using few, precise brushstrokes. ",https://www.johannesvermeer.org/assets/img/vermeer.jpg,Netherlands,1632,1675,Dutch Golden Age,Girl with a Pearl Earring|The Milkmaid|View of Delft,https://en.wikipedia.org/wiki/Johannes_Vermeer
leonardo-da-vinci,Leonardo da Vinci,"Leonardo di ser Piero da Vinci was a polymath of the High Renaissance, known for his paintings like the Mona Lisa and The Last Supper, but also an inventor, scientist, and architect. He was largely self-educated and filled notebooks with observations, theories, and inventions, including the helicopter, bicycle, and airplane. Though he conducted experiments and made scientific discoveries, he never published his ideas. ",https://hips.hearstapps.com/hmg-prod/images/portrait-of-leonardo-da-vinci-1452-1519-getty.jpg,Italy,1452,1519,High Renaissanc,Mona Lisa|The Last Supper|Vitruvian Man,https://en.wikipedia.org/wiki/Leonardo_da_Vinci
hans-memling,Hans Memling,"Hans Memling was a German-Flemish painter who worked in the tradition of Early Netherlandish painting. Born in the Middle Rhine region, he probably spent his childhood in Mainz. During his apprenticeship as a painter he moved to the Netherlands and spent time in the Brussels workshop of Rogier van der Weyden.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Hans_Memling_-_Portret_van_een_man.jpg/500px-Hans_Memling_-_Portret_van_een_man.jpg,Germany,1430,1494,Northern Renaissance,Diptych of Maarten van Nieuwenhove|The Last Judgment|Portrait of a Young Woman,https://en.wikipedia.org/wiki/Hans_Memling
berthe-morisot,Berthe Morisot,"Berthe Marie Pauline Morisot was a French painter, printmaker and a member of the circle of painters in Paris who became known as the Impressionists. In 1864, Morisot exhibited for the first time in the highly esteemed Salon de Paris, listed as a student of Joseph Guichard and Achille-Francois Oudinot.",https://www.christies.com/-/media/images/features/articles/2022/07/18-22/berthe-morisot/berthe-morisot-alamy-2fn2k6a.jpg?h=550&iar=0&w=880&rev=6037192d80674d6fab78d4e350c1bbe2&hash=f6c995aecef1108fa2aab225304672a9bb40cb99,France,1841,1895,Impressionism,The Cradle|Summer’s Day|Woman at Her Toilette,https://en.wikipedia.org/wiki/Berthe_Morisot
piet-mondrian,Piet Mondrian,"Pieter Cornelis Mondriaan was a Dutch painter and art theorist who played a key role in the development of modern abstract art. His mature works are known for their extreme formal purity, using primary colors, black, white, gray, straight lines, and right angles. Mondrian's style evolved throughout his life. He experimented with Cubism, pushing its geometric boundaries in works like Composition VII (1913).",https://upload.wikimedia.org/wikipedia/commons/8/83/Piet_Mondriaan.jpg,Netherlands,1872,1944,De Stijl,"Composition with Red, Blue, and Yellow|Broadway Boogie Woogie|Composition II in Red, Blue, and Yellow",https://en.wikipedia.org/wiki/Piet_Mondrian
john-singer-sargent,John Singer Sargent,"John Singer Sargent was an American artist and leading portraitist of his time, known for capturing the luxury of the Edwardian and Belle Époque eras. His work blended academic realism and impressionism, inspired by Old Masters like Diego Velázquez. Born in Florence to American parents, Sargent was educated in France and Germany and traveled extensively throughout his life. ",https://upload.wikimedia.org/wikipedia/commons/a/a5/John_Singer_Sargent_1903.jpg,United States,1856,1925,Impressionism|American Renaissance,Madame X,https://en.wikipedia.org/wiki/John_Singer_Sargent
frida-kahlo,Frida Kahlo,"Magdalena Carmen Frida Kahlo y Calderón was a Mexican painter known for her many portraits, self-portraits, and works inspired by the nature and artifacts of Mexico. Inspired by the country's popular culture, she employed a naïve folk art style to explore questions of identity, postcolonialism, gender, class, and race in Mexican society. Her paintings often had strong autobiographical elements and mixed realism with fantasy. In addition to belonging to the post-revolutionary Mexicayotl movement, which sought to define a Mexican identity, Kahlo has been described as a surrealist or magical realist. She is also known for painting about her experience of chronic pain. Her 1940 self-portrait titled The Dream holds the record for the most expensive work by a female artist ever auctioned at $54.7 million.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Frida_Kahlo%2C_by_Guillermo_Kahlo.jpg/330px-Frida_Kahlo%2C_by_Guillermo_Kahlo.jpg,Mexico,1907,1954,Surrealism|Magic Realism,The Two Fridas|Self-Portrait with Thorn Necklace and Hummingbird|The Broken Column,https://en.wikipedia.org/wiki/Frida_Kahlo
diego-rivera,Diego Rivera,Diego María de la Concepción Juan Nepomuceno Estanislao de la Rivera y Barrientos Acosta y Rodríguez was a Mexican painter. His large frescoes helped establish the mural movement in Mexican and international art.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Diego_Rivera_-_Google_Art_Project_%28cropped%29.jpg/330px-Diego_Rivera_-_Google_Art_Project_%28cropped%29.jpg,Mexico,1886,1957,Muralism|Social Realism,Detroit Industry Murals|Man at the Crossroads|The Flower Carrier,https://en.wikipedia.org/wiki/Diego_Rivera
georgia-o-keeffe,Georgia O'Keeffe,"Georgia Totto O'Keeffe was an American modernist painter and draftswoman whose career spanned seven decades and whose work remained largely independent of major art movements. Called the ""Mother of American modernism"", O'Keeffe gained international recognition for her paintings of natural forms, particularly flowers, hills and desert-inspired landscapes, which were often drawn from and related to places and environments in which she lived.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Georgia_O%27Keeffe_MET_DP230868.jpg/330px-Georgia_O%27Keeffe_MET_DP230868.jpg,United States,1887,1986,American Modernism,"Black Iris III|Jimson Weed/White Flower No. 1|Cow's Skull: Red, White, and Blue",https://en.wikipedia.org/wiki/Georgia_O'Keeffe
andy-warhol,Andy Warhol,"Andy Warhol was an American artist and filmmaker. Widely regarded as the most important artist of the second half of the 20th century, Warhol's work spanned various media, including painting, filmmaking, photography, publishing, and performance art. A leading figure in the pop art movement, his work explores the relationship between advertising, consumerism, mass media, and celebrity culture, transforming everyday consumer goods and familiar icons into renowned artworks. His embrace of mechanical reproduction challenged traditional boundaries between high and low culture. He is also credited with popularizing the expression ""15 minutes of fame.""",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Andy_Warhol_at_the_Jewish_Museum_%28by_Bernard_Gotfryd%29_%E2%80%93_LOC.jpg/330px-Andy_Warhol_at_the_Jewish_Museum_%28by_Bernard_Gotfryd%29_%E2%80%93_LOC.jpg,United States,1928,1987,Pop Art,Marilyn Diptych|Campbell's Soup Cans|Eight Elvises,https://en.wikipedia.org/wiki/Andy_Warhol
jean-michel-basquiat,Jean-Michel Basquiat,Jean-Michel Basquiat was an American artist who rose to success during the 1980s as part of the neo-expressionism movement.,https://upload.wikimedia.org/wikipedia/commons/a/aa/Jean-Michel_Basquiat_passport_%28cropped%29.jpg,United States,1960,1988,Neo-Expressionism,Untitled (1982)|Hollywood Africans|Boy and Dog in a Johnnypump,https://en.wikipedia.org/wiki/Jean-Michel_Basquiat
yayoi-kusama,Yayoi Kusama,"Yayoi Kusama is a Japanese contemporary artist who works primarily in sculpture and installation. She is also active in painting, performance, video art, fashion, poetry, fiction, and other arts. Her work is based in conceptual art and shows some attributes of feminism, minimalism, surrealism, art brut, pop art, and abstract expressionism, and is infused with autobiographical, psychological, and sexual content. She has been acknowledged as one of the most important living artists to come out of Japan, the world's top-selling female artist, and the world's most successful living artist. Her work influenced that of her contemporaries, including Andy Warhol and Claes Oldenburg.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Yayoi_Kusama_wax_model_at_Louis_Vitton.jpg/330px-Yayoi_Kusama_wax_model_at_Louis_Vitton.jpg,Japan,1929,,Contemporary Art|Pop Art,Infinity Mirror Rooms|Pumpkin|Narcissus Garden,https://en.wikipedia.org/wiki/Yayoi_Kusama
katsushika-hokusai,Katsushika Hokusai,"Katsushika Hokusai was a Japanese ukiyo-e artist of the Edo period, active as a painter and printmaker. His woodblock print series Thirty-Six Views of Mount Fuji includes the iconic print The Great Wave off Kanagawa. Hokusai was instrumental in developing ukiyo-e from a style of portraiture largely focused on courtesans and actors into a much broader style of art that focused on landscapes, plants, and animals. His works had a significant influence on Vincent van Gogh and Claude Monet during the wave of Japonisme that spread across Europe in the late 19th century.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Hokusai_as_an_old_man.jpg/330px-Hokusai_as_an_old_man.jpg,Japan,1760,1849,Ukiyo-e,"The Great Wave off Kanagawa|Fine Wind, Clear Morning|Thirty-six Views of Mount Fuji",https://en.wikipedia.org/wiki/Hokusai
utagawa-hiroshige,Utagawa Hiroshige,"Utagawa Hiroshige or Andō Hiroshige , born Andō Tokutarō, was a Japanese ukiyo-e artist, considered the last great master of that tradition.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Memorial_Portrait_of_Utagawa_Hiroshige_%285765350019%29.jpg/330px-Memorial_Portrait_of_Utagawa_Hiroshige_%285765350019%29.jpg,Japan,1797,1858,Ukiyo-e,The Fifty-three Stations of the Tokaido|One Hundred Famous Views of Edo|Sudden Shower over Shin-Ohashi Bridge,https://en.wikipedia.org/wiki/Hiroshige
salvador-dali,Salvador Dali,"Salvador Domingo Felipe Jacinto Dalí i Domènech, Marquess of Dalí de Púbol, known as Salvador Dalí, was a Spanish surrealist artist renowned for his technical skill, precise draftsmanship, and the striking and bizarre images in his work.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Salvador_Dal%C3%AD_1939.jpg/330px-Salvador_Dal%C3%AD_1939.jpg,Spain,1904,1989,Surrealism,The Persistence of Memory|The Elephants|Soft Construction with Boiled Beans,https://en.wikipedia.org/wiki/Salvador_Dal%C3%AD
joan-miro,Joan Miro,"Joan Miró i Ferrà was a Catalan painter, sculptor and ceramist from Spain. A museum dedicated to his work, the Fundació Joan Miró, was established in his native city of Barcelona in 1975, and another, the Fundació Pilar i Joan Miró, was established in his adoptive city of Palma, Mallorca in 1981.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Portrait_of_Joan_Miro%2C_Barcelona_1935_June_13.jpg/330px-Portrait_of_Joan_Miro%2C_Barcelona_1935_June_13.jpg,Spain,1893,1983,Surrealism|Modern Art,The Farm|Harlequin's Carnival|Blue II,https://en.wikipedia.org/wiki/Joan_Mir%C3%B3
francisco-goya,Francisco Goya,"Francisco José de Goya y Lucientes was a Spanish romantic painter and printmaker. He is considered the most important Spanish artist of the late 18th and early 19th centuries. His paintings, drawings, and engravings reflected contemporary historical upheavals and influenced important 19th- and 20th-century painters. Goya is often referred to as the last of the Old Masters and the first of the moderns. He is widely regarded as one of the most influential figures in the history of Western art.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Vicente_L%C3%B3pez_Porta%C3%B1a_-_el_pintor_Francisco_de_Goya.jpg/330px-Vicente_L%C3%B3pez_Porta%C3%B1a_-_el_pintor_Francisco_de_Goya.jpg,Spain,1746,1828,Romanticism,The Third of May 1808|Saturn Devouring His Son|The Naked Maja,https://en.wikipedia.org/wiki/Francisco_Goya
diego-velazquez,Diego Velazquez,"Diego Rodríguez de Silva y Velázquez was a Spanish painter, the leading artist in the court of King Philip IV of Spain and Portugal, and of the Spanish Golden Age. He is generally considered one of the greatest artists in the history of Western art.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Diego_Vel%C3%A1zquez_Autorretrato_45_x_38_cm_-_Colecci%C3%B3n_Real_Academia_de_Bellas_Artes_de_San_Carlos_-_Museo_de_Bellas_Artes_de_Valencia.jpg/330px-Diego_Vel%C3%A1zquez_Autorretrato_45_x_38_cm_-_Colecci%C3%B3n_Real_Academia_de_Bellas_Artes_de_San_Carlos_-_Museo_de_Bellas_Artes_de_Valencia.jpg,Spain,1599,1660,Baroque,Las Meninas|The Rokeby Venus|The Surrender of Breda,https://en.wikipedia.org/wiki/Diego_Vel%C3%A1zquez
caravaggio,Caravaggio,"Michelangelo Merisi da Caravaggio, known mononymously as Caravaggio, was an Italian painter active in Rome for most of his artistic life. During the final four years of his life, he moved between Naples, Malta, and Sicily. His paintings have been characterized by art critics as combining a realistic observation of the human state, both physical and emotional, with a dramatic use of lighting, which had a formative influence on Baroque painting.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Bild-Ottavio_Leoni%2C_Caravaggio.jpg/330px-Bild-Ottavio_Leoni%2C_Caravaggio.jpg,Italy,1571,1610,Baroque,The Calling of Saint Matthew|Judith Beheading Holofernes|Bacchus,https://en.wikipedia.org/wiki/Caravaggio
sandro-botticelli,Sandro Botticelli,"Alessandro di Mariano di Vanni Filipepi, better known as Sandro Botticelli or simply Botticelli, was an Italian painter of the Early Renaissance. Botticelli's posthumous reputation suffered until the late 19th century, when he was rediscovered by the Pre-Raphaelites who stimulated a reappraisal of his work. Since then, his paintings have been seen to represent the linear grace of late Italian Gothic and some Early Renaissance painting, even though they date from the latter half of the Italian Renaissance period.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Sandro_Botticelli_083.jpg/330px-Sandro_Botticelli_083.jpg,Italy,1445,1510,Early Renaissance,The Birth of Venus|Primavera|Adoration of the Magi,https://en.wikipedia.org/wiki/Sandro_Botticelli
titian,Titian,"Tiziano Vecellio, Latinized as Titianus, hence known in English as Titian, was an Italian Renaissance painter. The most important artist of Renaissance Venetian painting, he was born in Pieve di Cadore, near Belluno.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Titian_-_Self-portrait_%28Museo_del_Prado%29.jpg/330px-Titian_-_Self-portrait_%28Museo_del_Prado%29.jpg,Italy,1488,1576,High Renaissance|Venetian School,Venus of Urbino|Assumption of the Virgin|Bacchus and Ariadne,https://en.wikipedia.org/wiki/Titian
artemisia-gentileschi,Artemisia Gentileschi,"Artemisia Lomi Gentileschi was an Italian Baroque painter. Gentileschi is considered among the most accomplished 17th-century artists, initially working in the style of Caravaggio. She was producing professional work by the age of 15. In an era when women had few opportunities to pursue artistic training or work as professional artists, Gentileschi was the first woman to become a member of the Accademia di Arte del Disegno in Florence and she had an international clientele. Gentileschi worked as an expatriate painter in the court of Charles I of England from 1638 to 1642, but she is thought to have fled the country in the early phases of the English Civil War. Her whereabouts over the following years are unknown, but she resurfaced in Naples during 1649. Her last known letter to one of her mentors was dated to 1650 and it indicates that she was still working as an artist. Her time of death is disputed, but her last known commission was in January 1654.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Self-portrait_as_the_Allegory_of_Painting_%28La_Pittura%29_-_Artemisia_Gentileschi.jpg/330px-Self-portrait_as_the_Allegory_of_Painting_%28La_Pittura%29_-_Artemisia_Gentileschi.jpg,Italy,1593,1656,Baroque,Judith Slaying Holofernes|Self-Portrait as the Allegory of Painting|Susanna and the Elders,https://en.wikipedia.org/wiki/Artemisia_Gentileschi
el-greco,El Greco,"Doménikos Theotokópoulos, most widely known as El Greco, was a Greek painter, sculptor and architect of the Spanish Renaissance, regarded as one of the greatest artists of all time. El Greco was a nickname, and the artist normally signed his paintings with his full birth name in Greek letters often adding the word Κρής, which means ""Cretan"" in Ancient Greek.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/El_Greco_-_Portrait_of_a_Man_-_WGA10554.jpg/330px-El_Greco_-_Portrait_of_a_Man_-_WGA10554.jpg,Greece,1541,1614,Mannerism,The Burial of the Count of Orgaz|View of Toledo|The Opening of the Fifth Seal,https://en.wikipedia.org/wiki/El_Greco
gustav-klimt,Gustav Klimt,"Gustav Klimt was an Austrian symbolist painter and a founding member of the Vienna Secession movement. His work helped define the Art Nouveau style in Europe. Klimt is known for his paintings, murals, sketches, and other objets d'art. Klimt's primary subject was the female body, and his works are marked by a frank eroticism. Amongst his figurative works, which include allegories and portraits, he painted landscapes. He is best known for The Kiss and Portrait of Adele Bloch-Bauer I. Among the artists of the Vienna Secession, Klimt was the most influenced by Japanese art and its methods.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Klimt.jpg/330px-Klimt.jpg,Austria,1862,1918,Symbolism|Vienna Secession,The Kiss|Portrait of Adele Bloch-Bauer I|Judith and the Head of Holofernes,https://en.wikipedia.org/wiki/Gustav_Klimt
egon-schiele,Egon Schiele,"Egon Leo Adolf Ludwig Schiele was an Austrian Expressionist painter. His work is noted for its intensity and its raw sexuality, and for the many self-portraits the artist produced, including nude self-portraits. The twisted body shapes and the expressive line that characterise Schiele's paintings and drawings mark the artist as an early exponent of Expressionism. Gustav Klimt, a figurative painter of the early 20th century, was a mentor to Schiele.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Egon_Schiele_-_Self-Portrait_with_Physalis_-_Google_Art_Project.jpg/330px-Egon_Schiele_-_Self-Portrait_with_Physalis_-_Google_Art_Project.jpg,Austria,1890,1918,Expressionism,Seated Woman with Bent Knee|Death and the Maiden|Self-Portrait with Physalis,https://en.wikipedia.org/wiki/Egon_Schiele
wassily-kandinsky,Wassily Kandinsky,"Wassily Wassilyevich Kandinsky was a Russian painter and art theorist active in Germany during the late Belle Époque and Interwar eras. Kandinsky is generally credited as one of the pioneers of abstraction in Western art. Born in Moscow, he began painting studies at the age of 30.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Kandinsky_-_Vassily_Kandinsky_by_Adolf_Elnain_Photo_credits_-_Georges_Meguerditchian.jpg/330px-Kandinsky_-_Vassily_Kandinsky_by_Adolf_Elnain_Photo_credits_-_Georges_Meguerditchian.jpg,Russia,1866,1944,Abstract Art,Composition VII|Yellow-Red-Blue|Several Circles,https://en.wikipedia.org/wiki/Wassily_Kandinsky
kazimir-malevich,Kazimir Malevich,"Kazimir Severinovich Malevich was a Russian avant-garde artist and art theorist, whose pioneering work and writing influenced the development of abstract art in the 20th century. His concept of Suprematism sought to develop a form of expression that moved as far as possible from the world of natural forms (objectivity) and subject matter in order to access ""the supremacy of pure feeling"" and spirituality. Born in Kiev, modern-day Ukraine, to an ethnic Polish family, Malevich was active primarily in Russia and became a leading artist of the Russian avant-garde. His work has been also associated with the Ukrainian avant-garde, and he is a central figure in the history of modern art in Central and Eastern Europe more broadly.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Casimir_Malevich_photo.jpg/330px-Casimir_Malevich_photo.jpg,Ukraine,1879,1935,Suprematism,Black Square|White on White|Suprematist Composition,https://en.wikipedia.org/wiki/Kazimir_Malevich
marc-chagall,Marc Chagall,"Marc Chagall was a Russian and French artist of Jewish origin. An early modernist, he was associated with the École de Paris, as well as several major artistic styles and created works in a wide range of artistic formats, including painting, drawings, book illustrations, stained glass, stage sets, ceramics, tapestries and fine art prints.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Shagal_Choumoff.jpg/330px-Shagal_Choumoff.jpg,Belarus,1887,1985,Modernism|Surrealism,I and the Village|The Birthday|White Crucifixion,https://en.wikipedia.org/wiki/Marc_Chagall
